title,link,description,bloggername,bloggerlink,postdate
장안사거리 그룹트레이닝 헬스 하이록스 크로스핏 [크로스핏... ,https://blog.naver.com/crossfitbigfoot/224163790111,안녕하세요 크로스핏 빅풋 장안점 노아코치입니다 저번에는 천칼멤버 3명이 박스로 놀러왔어요 주말에 했던 렉스트림 경기를위해 운동하러 온거였고 곧 다음 포스팅에 렉스트림 경기 후기를 올리겠습니다... ,크로스핏 빅풋 장안점,blog.naver.com/crossfitbigfoot,20260129
2026년 반가워..,https://blog.naver.com/rananng_/224162829004,맘에 들었던 안경..가격은 마음에 안듬.. 옹심이와 메밀전..잘 먹고 다니고요.. 네.. 렉스트림 구경하러 갔는데 응원 재밌다!!! 5월 하이록스 잘 준비하자.. 갓범석도 만났어요..ㅎㅎㅎ 신기.. 올해 목표 ::,기록용 블로그,blog.naver.com/rananng_,20260128
불도저 체육관 2026 로케트배터리 익스트림 레이스... ,https://blog.naver.com/say3205/224162700892,"안녕하세요. 불도저체육관입니다  지난주 24일 토요일 일산 킨텍스에서 열린 로케트배터리 익스트림 레이스 - REXTREME에 불도저 체육관이 다녀왔습니다!  남자 3인 팀전 1팀, 여자 3인... ",불도저체육관,blog.naver.com/say3205,20260128
모르겠고 파이팅하는중입니다 . 허허,https://blog.naver.com/pi03156/224161784300,이렇게 펑펑 내리니 오히려 좋아 요즘 나의 성장기 무에타이 6년 7년 되는데 이제서야 성장하는 ing 지켜봐주세욧 ✎﹏﹏﹏﹏그리고 토요일에 있었던 ‘ 렉스트림 ’ 블로그... ,✿˘◡˘✿,blog.naver.com/pi03156,20260127
26.01.19.-26.01.25.(154주차),https://blog.naver.com/athoho13/224161608622,Pull Up A - Done / S2OH 때문에 A로 했는데 그래도 넘 빡셌당;;; 26.01.23.(금) - 렉스트림이 있어서 운동 패스 26.01.24.(토) 렉스트림 참가 ! 월 화 목 토 운동 완 !!!@!@,athoho13님의블로그,blog.naver.com/athoho13,20260127
제 1회 렉스트림(Rextreme) 대회 저지 후기,https://blog.naver.com/sally5668/224161486051,노동의 현장..개미는 뚠뚠 하이록스가 하도 유명해져서 렉스트림이랑 뭐가 다른거냐고 물어보는 사람이... 하이록스 렉스트림 둘 다 로잉 저지.. 이제 그만 해도 될 것 같아요^^^ 다음은 스키일까 로잉 옮기다가... ,두팔LOG,blog.naver.com/sally5668,20260127
"하이록스급 피트니스 레이스, 렉스트림｜스포플이 함께한 현장... ",https://blog.naver.com/naum7575/224161374607,"결론부터 말하면, 렉스트림은 ‘기록보다 컨디션 관리가 중요한 대회’였습니다. 고중량·고반복... 이번 렉스트림 대회에서 스포플은 결승 진출자 대기실이자 웜업·릴리즈 공간인 ‘VIP 컨디셔닝 존’을... ",스포플,blog.naver.com/naum7575,20260127
[F45 낙성대] 1월 4주차 - 400회 달성!! REXTREME 출전! C50... ,https://blog.naver.com/kwen1030/224161285083,"곧 400회인데, 렉스트림으로 다음주 월요일에 달성하지 않을까 싶다 ㅎㅎ 업라이트로우 왠지 조아 불스스 왠지 좋아 내가 이 구역의 따봉충 피곤해요 어쩌다 용주님과 200 기념티 퓨전 월요일 같은... ",두근두근 세동동,blog.naver.com/kwen1030,20260127
제1회 렉스트림 출격 ! ⚡️,https://blog.naver.com/pi03156/224159975301,우선 이번에 나간 제1회 대회 #렉스트림 을 소개하겠습니다 ^.^ ‘ REXTREME ’은 ROCKET 브랜드와 EXTREME의... 아쉬움 뒤로한 채 여기서 디저트페어는 마무리 이제 다시 여기 온 목적 렉스트림 하러 가야쥬 우리 팀... ,✿˘◡˘✿,blog.naver.com/pi03156,20260126
렉스트림(Rextreme) 대회 후기,https://blog.naver.com/crossfitrnl_su/224159781436,"지난 주말 토요일, 수유·용산·태릉 지점 코치진들끼리 렉스트림 대회에 다녀왔습니다. 회원님들께도 꼭 한 번은 말씀드리고 싶었던 경험이라 이렇게 블로그에 기록으로 남겨봅니다. 렉스트림이란?... ",⠀⠀,blog.naver.com/crossfitrnl_su,20260126
로케트배터리 익스트림 레이스 렉스트림 저지 후기,https://blog.naver.com/namoo576/224158809950,# 렉스트림 #렉스트림대회 #렉스트림저지 2025년 막바지 즈음 F45 범계 인스타에 이런 글이 올라왔어요. 렉스트림이라고 하이록스같은 피트니스 레이스인데 시뮬레이션을 범사오에서 한다는...!! 망설임없이 바로... ,그냥 쓰는 블로그,blog.naver.com/namoo576,20260125
46. 벌써 ? ??!! 1월이 끝이라고요 ? ?????,https://blog.naver.com/hajin4time/224158439726,"쳐다보는 강아지 모히컷 강아지 웃긴젤리를 사온 서윤 나보다 더 사람같이 자는 강아지 .. #렉스트림 긴장감 없는 대회 배째님이 사주신 젤리,, 사랑그거지모에요.., 귀여운 코끼리도 보여주시고 ,, 이제진짜잘 살자",놀러와요 앵두의 숲,blog.naver.com/hajin4time,20260124
0111-0118 : 렉스트림 대회 신청하고 후회하는 크린이의 운동... ,https://blog.naver.com/ryu_min_312/224157598056,우연히 유튜브 보다가 렉스트림 대회가 있다는 걸 알았다 같이 운동하는 동생에게 이거 해볼만할 것... 1/11 렉스트림 맛보기 룰 숙지를 위해 하프로 맛보기로 했다! DB GTO나 MD Ball Over나 샌드백 셔틀런은... ,류민의 쉬는시간,blog.naver.com/ryu_min_312,20260123
버티고 살아 남는게 강한거라며.,https://blog.naver.com/zeungm1n/224155975993,앞으로 여긴 아몬드라떼만 먹으러 와야징 ㅋㅋㅋㅋㅋㅋㅋ 토요일에 출전하는 한국식 하이록스 렉스트림. 아니 팀 경기인데.. 왜 한 종목당 1명이 진행해야하는거야ㅜㅜ,¿,blog.naver.com/zeungm1n,20260122
제 1회 2026 Rextreme(렉스트림)  한국판 하이록스의 등장... ,https://blog.naver.com/goncci/224153927863,(rextreme)렉스트림'을 개최하였습니다. 기존에 '하이록스'라는 대회가 열풍을 일으키고 있는데 그와 비슷한 종목으로 구성되어 있는데요. 저와 함께 렉스트림은 무슨 대회인지 하이록스와 무엇이... ,goncci님의 블로그,blog.naver.com/goncci,20260121
&lt;크로스핏 빅풋 장안점&gt; 렉스트림 경기준비 남산러닝,https://blog.naver.com/crossfitbigfoot/224152659195,다가온 렉스트림 경기를 위해 팀 멤버가 훈련을 했어요 재밌는 추억 만들기위해 좋은 기회로 지원해준 천칼클럽에도 감사합니다 열심히 하고 올게요! #다이어트 #크로스핏 #크로스핏빅풋장안점 #헬스... ,크로스핏 빅풋 장안점,blog.naver.com/crossfitbigfoot,20260120
2026.01.16(금) CONNECTION DAILY NEWS,https://blog.naver.com/agencyconnection/224151668164,"업계동향(Industry Insight) 01. 신세계프라퍼티, 센터필드 매각 반대 입장 표명 신세계프라퍼티는 이지스자산운용이 센터필드를 일방적으로 매각하려는 시도에 강력 반대한다. 매각은... ",에이전시커넥션,blog.naver.com/agencyconnection,20260119
2026. 1. 19.  패션 브리핑,https://blog.naver.com/fashon1/224151456616,‘마운티아’ 피트니스 레이스 렉스트림 후원 ‘마운티아’가 오는 24일 열리는 하이브리드 피트니스 레이스 대회 ‘렉스트림’ 공식 협찬사로 참여한다. 1월 24일 일산 킨텍스 8B홀에서 개최되는... ,공유경제형 패션 플랫폼 미디어패션쇼,blog.naver.com/fashon1,20260119
"도쿄&amp;도쿄소도시 가마쿠라 여행 3박4일 3,4일차",https://blog.naver.com/ezniworld/224150913456,한마리 배달시켜서먹은 방어회 머리까지 구워서 야무지게 사실 이날 렉스트림 와드도 해보아소 아주 굶주려서 많이먹은날 (여기에 러닝에 메이헴 프로그램까지) 다음날 또 방어초밥해서 먹기 남편표 계란찜... ,ezniworld의 일상 zip.,blog.naver.com/ezniworld,20260118
동대문구 장안사거리 그룹pt 재밌게 운동 할 수 있을때 하자!,https://blog.naver.com/crossfitbigfoot/224150426848,안녕하세요 빅풋 트레이닝 클럽 크로스핏 빅풋 장안점 입니다 다음주 있을 렉스트림 경기준비로 저번에 시뮬레이션을 했어요 팀전으로 나가게 됐는데 열심히 하고 오겠습니다 멤버들과 재밌는 추억 쌓기... ,크로스핏 빅풋 장안점,blog.naver.com/crossfitbigfoot,20260118
철산동그룹PT 새벽부터 밤까지 다양한 프로그램이있어... ,https://blog.naver.com/quacksalver7/224149839921,슬램볼 &amp; 버피테스트 이건 렉스트림 대회의 종목 중 하나 입니다. https://www.rextreme.kr/ko 우리모두 강해지셨습니다! 16키로 슬램볼로 운동을 수행해주셨습니다!! 이 또한 개별성의 맞게... ,KOREA_CLASS,blog.naver.com/quacksalver7,20260117
‘마운티아’ 피트니스 레이스 렉스트림 후원,https://blog.naver.com/fashon1/224148512686,‘마운티아’가 오는 24일 열리는 하이브리드 피트니스 레이스 대회 ‘렉스트림’ 공식 협찬사로 참여한다. 1월 24일 일산 킨텍스 8B홀에서 개최되는 ‘렉스트림’은 단순 체력 측정을 넘어 끝까지 완주하는... ,공유경제형 패션 플랫폼 미디어패션쇼,blog.naver.com/fashon1,20260116
REXTREME(렉스트림)룰설명/레이스순서/다옴짐/HYROX... ,https://blog.naver.com/songi9834/224146663219,렉스트림 훈련도 다옴짐에서! #신년이벤트 중입니다! 상담환영 010 **** **** 체험이벤트 중이니 부담없이 문의 주세요^^ 등록하시는 모든 분들께 선물도 증정합니다(선착순),운동하고 먹고 즐기자,blog.naver.com/songi9834,20260114
레이스' 남녀노소 즐길 수 있는 렉스트림 레이스 같이 참여해요,https://blog.naver.com/team410_official/224146352315,"‘로케트배터리 익스트림 레이스’ 입니다 출처: 홍범석 유투브 일명 ‘렉스트림’ 이라고... 일명 '렉스트림' ✔️주최: 로케트배터리(세방전지) ✔️목적: 배터리 기술을 넘어 체력, 근성, 전략을 결합한... ",가경/강서동 그룹트레이닝 센터 team410,blog.naver.com/team410_official,20260114
[철산 위무브 그룹PT] 두바이 쫀득 쿠키...,https://blog.naver.com/we_move_training1350/224143337325,안녕하세요❗️❗️❗️ 위무브 트레이닝입니다 2026년 벌써 1월 중순이 지나가고 있습니다. 두바이 쫀득 쿠키가 엄청 유행이 되면서 사람들이 많이 웨이팅도 하시고 사서 많이 드시는... ,WEMOVE TRAINING,blog.naver.com/we_move_training1350,20260112
"F45광화문, F45 운동 후기｜헬스랑 뭐가 다를까? 처음 해본... ",https://blog.naver.com/noyounmi/224138258803,"특별히 이날은 어느 일요일 한남 헤드코치님의 스트랭스 훈련 클래스였고 정말 데드리프트와 스쿼트에대해 제대로 배웠어요 하이록스, 렉스트림 등등 전국적으로 열리는 (하이록스는 잘 모르겠지만..... ",기적의 노트(함께하는 운동심리치료),blog.naver.com/noyounmi,20260107
[우당탕탕 크로스핏.]-12월. 2025년의 마지막 달. 편.,https://blog.naver.com/jbr0704/224136546566,"렉스트림 대회 와드는 이렇게 하는 거로 탕탕! 근데 코치님께서 한 번 다 재본다음에 결정하는게 좋을... 용코치님과 함께 렉스트림 대회 연습,, 12월도 열시미 했다!!!!! 2025년 안녕!!!!!!!!!!!!!!! 안녕이다!!!!!!!!!!... ",호잇,blog.naver.com/jbr0704,20260106
로케트배터리가 만든 한국형 하이록스 렉스트림(Rextreme)... ,https://blog.naver.com/fitmentor/224134741812,"로케트배터리가 만든 한국형 하이록스 렉스트림(Rextreme) 시뮬레이션 현장 안녕하세요. 도전과... 한국형 하이록스 렉스트림(Rextreme)의 종목을 간단히 소개해 드릴게요. Rowing 1,500m 첫 종목은 로잉 1... ",근육둥이 정의성,blog.naver.com/fitmentor,20260105
2025년 한해 고생하셨습니다! 광명프리미엄그룹PT,https://blog.naver.com/quacksalver7/224129505922,0940분 타임 남자 회원님은 이번에 렉스트림 대회에 신청하였습니다. 운동을 열심히 하고 계십니다. https://www.rextreme.kr/ko 로잉머신 파이팅있게 땡겨주시고 계십니다. 우리 철산동 프리미엄 그룹PT... ,KOREA_CLASS,blog.naver.com/quacksalver7,20251231
[철산/하안동] 위무브트레이닝센터 그룹PT 해보자!,https://blog.naver.com/quacksalver7/224126695071,함께 움직이는 순간 힘이 된다. 위무브트레이닝센터 입니다. 철산역 1번 출구 하이마트 바로 옆에 위치하고 있습니다. 1층에 편의점도 있고 해서 편의성이 아주 좋습니다. 오늘은 몸풀기로 줄넘기를 진행... ,KOREA_CLASS,blog.naver.com/quacksalver7,20251229
일산정발산그룹피티 F45 일산점 춥지만 운동은 뜨겁게!,https://blog.naver.com/boom_112679/224120157613,특징은 렉스트림(LEXTREME) 공식 파트너 센터라는 점이에요 전문적인 트레이닝 시스템을 기반으로 대회를 준비하는 멤버들도 함께 운동하고 있어서 센터 전체의 에너지가 남다르더라구요 운동하는 내내... ,인생은 기세다,blog.naver.com/boom_112679,20251223
F45 광화문 X 렉스트림 한국판 하이록스 피트니스 레이스,https://blog.naver.com/f45ghm/224110318927,안녕하세요. F45 광화문점입니다. 지난 12월 14일 광화문 스튜디오에서는 하이브리드 피트니스 레이스 'REXTREME' 체험 클래스가 열렸습니다! 클래스 끝난 후 모든 멤버들이 몸져 누웠다는 전설의... ,F45 광화문 공식 블로그,blog.naver.com/f45ghm,20251215
[12월 2주차] 일주일 분량 초과,https://blog.naver.com/rlathdud2112/224108910460,아 ㅋㅋㅋㅋㅋㅋ 댕웃기고 댕귀여움 렉스트림 무슨 배터리 대회 맛보기... 유산소 해야겠다. 다경 언니가 치즈빵? 나눠 줬는데 어떻게 이렇게 촉촉하고 맛있어?!?! 그 맛에 감동받아서 최근에 여기 다녀옴.... ,YOUNG,blog.naver.com/rlathdud2112,20251214
[하이록스 준비] 다이어트 시작 + 6km 러닝 (with. 호카... ,https://blog.naver.com/workoutlife/224107623261,"일단 1월 렉스트림, 4월 하이브리드, 그리고 5월 하이록스까지 〰️ 최종 목표는 하이록스 기록 갱신이기 때문에, 5월까지 천천히 체력을 올려보려 한다  하이록스 준비의 시작, 다이어트 하이록스는 러닝의... ",땀방울의 적분,blog.naver.com/workoutlife,20251212
와리가리,https://blog.naver.com/lionkim10/224101818297,너머 멀리에 가있네 여기에는 아무도 안 올 테니 그냥 집으로 돌아갈래 데이즈드 앤 컨퓨즈드 Dazed &amp; Confused Korea 뮤직앤뮤지션 A형 (표지 : 뉴진스 하니) 2024렉스트림(잡지),lionkim10님의블로그,blog.naver.com/lionkim10,20251208
[하이록스]렉스트림 rextreme하이브리드 피트니스 레이스... ,https://blog.naver.com/ldw8364/224099173339,안녕하세요 원도입니다 26년도 첫 오프라인 대회인 렉스트림을 총 정리 해봤습니다 모든 정보는 렉스트림 인스타에서 가져왔음을 알립니다 렉스트림은 크로스핏과 하이록스 사이에 있는듯한 신종 피트니스... ,운동 • 다이어트 • 건강,blog.naver.com/ldw8364,20251205
[2026 대회] 렉스트림 rextreme 대회 정리,https://blog.naver.com/workoutlife/224094718596,"2026 렉스트림 [하이록스 준비] 2026 렉스트림 rextreme 대회 정리 하이록스가 지금처럼 유명하지 않았던 시기에 친한 언니와 대회를 나가서 20대 1등을 했었는데, 이번에 그 기록을 갱신하고... ",땀방울의 적분,blog.naver.com/workoutlife,20251201
REXTREME F45둔촌 × F45을지로 × F45성수 연합(?)운동회,https://blog.naver.com/gymdory/224093113417,서로 다른 팀이지만 같은 목표의 도전자들을 가진 세 지점이 모여 #REXTREME 맛보기 연합 운동회를 진행했어요 지금부터 그 스토리 시오-시작 YTN 마라톤이 진행되고 있던 어느 일요일 아침 흔한 청계천 앞... ,Gymdory in the House,blog.naver.com/gymdory,20251130
"사쿠야 생파 초대됨 ㅎ :: 서울 사쿠야 생일카페 투어, 생카... ",https://blog.naver.com/yuool1649/224077856992,데이즈드 앤 컨퓨즈드 Dazed &amp; Confused Korea 2025 걸 에디션 A형 2025 (표지 : 아일릿) 렉스트림 편집부2025렉스트림(잡지) 그리고 데이즈드 앤 컨퓨즈드 25년 8월호 엔시티위시 화보 짱이쁨이 ㅎ 한번씩 봐주십시오... ,휴식 아티스트 킹율,blog.naver.com/yuool1649,20251116
"K-패션·푸드·뷰티, 한류와 결합해 수출 성장동력 육성",https://blog.naver.com/baedalkuk/224073876428,확장되며 수출 증대 효과가 나타나고 있다”며 “정부의 체계적 지원을 통해 중소기업 제품의 해외 진출을 가속화하겠다”고 덧붙였다. 데이즈드 앤 컨퓨즈드 뷰티 에디션(2025) 렉스트림 편집부2025렉스트림,예쁜집 예쁜세상,blog.naver.com/baedalkuk,20251112
